protocol,function,algorithm,run,best,n_fes,max_iter,seconds
equal_iterations,F1,HS,0,28402010181.086185,530,500,0.10659509999095462
equal_iterations,F1,HS,1,10647026311.076689,530,500,0.10036199999740347
equal_iterations,F1,HS,2,23306915972.26894,530,500,0.1083366999955615
equal_iterations,F1,HS,3,20231210430.625973,530,500,0.10657720000017434
equal_iterations,F1,HS,4,17248389435.89952,530,500,0.10567009999067523
equal_iterations,F1,HS,5,22907646124.936897,530,500,0.11874849999730941
equal_iterations,F1,HS,6,15898625358.952366,530,500,0.09916680000605993
equal_iterations,F1,HS,7,30366067524.94042,530,500,0.11098219999985304
equal_iterations,F1,HS,8,18074602289.502647,530,500,0.11635359999490902
equal_iterations,F1,HS,9,17127819719.038504,530,500,0.1394633000018075
equal_iterations,F1,LSHADE,0,40585.3612431357,8569,500,1.808139899992966
equal_iterations,F1,LSHADE,1,18425.295017098684,8569,500,1.7111042000033194
equal_iterations,F1,LSHADE,2,113267.44962196799,8569,500,1.5917231000057654
equal_iterations,F1,LSHADE,3,49932.08232915393,8569,500,1.7414698000065982
equal_iterations,F1,LSHADE,4,102315.65834147816,8569,500,1.7663685000006808
equal_iterations,F1,LSHADE,5,22939.13586258375,8569,500,1.6303160000097705
equal_iterations,F1,LSHADE,6,382218.9046227817,8569,500,1.1002461000025505
equal_iterations,F1,LSHADE,7,70404.30954267141,8569,500,1.7412450000119861
equal_iterations,F1,LSHADE,8,131715.8153230592,8569,500,1.1091095000010682
equal_iterations,F1,LSHADE,9,162297.21238841396,8569,500,1.4831179999891901
equal_iterations,F1,PSO,0,25355189004.88861,15030,500,0.34466089999477845
equal_iterations,F1,PSO,1,25521987954.253845,15030,500,0.33224580000387505
equal_iterations,F1,PSO,2,11393443154.911228,15030,500,0.24851910000143107
equal_iterations,F1,PSO,3,18194018590.57699,15030,500,0.327107100005378
equal_iterations,F1,PSO,4,6506665824.064174,15030,500,0.32333509999443777
equal_iterations,F1,PSO,5,37020191988.90117,15030,500,0.2517274000128964
equal_iterations,F1,PSO,6,7499244791.725415,15030,500,0.24095439999655355
equal_iterations,F1,PSO,7,28740993099.458996,15030,500,0.2366792999964673
equal_iterations,F1,PSO,8,43392443541.155174,15030,500,0.2482657999935327
equal_iterations,F1,PSO,9,32548062801.499557,15030,500,0.22272510000038892
equal_iterations,F1,GWO,0,2934738101.480144,15030,500,1.0582815000088885
equal_iterations,F1,GWO,1,1612035231.1121414,15030,500,1.113400999995065
equal_iterations,F1,GWO,2,4088062435.8983927,15030,500,0.9219577999901958
equal_iterations,F1,GWO,3,5492307287.768429,15030,500,0.8847673999989638
equal_iterations,F1,GWO,4,1391658382.441016,15030,500,0.9023805999895558
equal_iterations,F1,GWO,5,5661305753.535818,15030,500,0.9168654999957653
equal_iterations,F1,GWO,6,3627080486.3477926,15030,500,1.191978199989535
equal_iterations,F1,GWO,7,4012272749.4944377,15030,500,1.0292974000039976
equal_iterations,F1,GWO,8,9864644244.803167,15030,500,0.9045084999961546
equal_iterations,F1,GWO,9,3963505089.8329477,15030,500,0.8927381999965291
equal_iterations,F1,HHO,0,113172590.56197521,27898,500,1.0733191000035731
equal_iterations,F1,HHO,1,104328432.21786572,27604,500,1.0692901000002166
equal_iterations,F1,HHO,2,161830255.0441609,28046,500,0.90046559998882
equal_iterations,F1,HHO,3,113177640.94761842,27662,500,0.8768950999947265
equal_iterations,F1,HHO,4,132356074.52878578,27578,500,0.8820448000042234
equal_iterations,F1,HHO,5,176742520.29254746,27390,500,0.9006724000064423
equal_iterations,F1,HHO,6,123087771.30708252,27628,500,0.9257345999940298
equal_iterations,F1,HHO,7,188190877.03092596,27802,500,1.0520854999922449
equal_iterations,F1,HHO,8,148884884.39210656,27488,500,1.156269600003725
equal_iterations,F1,HHO,9,157717813.88855204,27778,500,0.9768168000009609
equal_iterations,F1,BFO,0,933053.3434599146,26673,500,1.1861816000018734
equal_iterations,F1,BFO,1,965042.5443971475,26192,500,1.090477199992165
equal_iterations,F1,BFO,2,1363398.4265729405,26868,500,0.8097049000061816
equal_iterations,F1,BFO,3,1710122.1743721436,26243,500,0.8014540000003763
equal_iterations,F1,BFO,4,1940658.3258637392,27162,500,0.8252378000033787
equal_iterations,F1,BFO,5,1223815.258246841,26443,500,0.8004858999920543
equal_iterations,F1,BFO,6,1252654.400792062,26803,500,0.8101625999988755
equal_iterations,F1,BFO,7,1578565.2033984736,26864,500,0.8923060999950394
equal_iterations,F1,BFO,8,1756586.740716772,26363,500,1.17096400000446
equal_iterations,F1,BFO,9,1700424.1841869801,26727,500,1.1743026000040118
equal_iterations,F1,TSA,0,8800527.429188699,45473,500,9.133140300007653
equal_iterations,F1,TSA,1,5358494.350510702,44910,500,8.251514199990197
equal_iterations,F1,TSA,2,9186374.87110443,44942,500,8.765097099996638
equal_iterations,F1,TSA,3,9895558.13718588,44873,500,8.449446900005569
equal_iterations,F1,TSA,4,18075504.10724153,45016,500,9.090582899996662
equal_iterations,F1,TSA,5,7707294.526935924,44876,500,9.004528699995717
equal_iterations,F1,TSA,6,12071646.039647298,45214,500,8.951829400000861
equal_iterations,F1,TSA,7,2671315.1997885415,45187,500,8.854457399997045
equal_iterations,F1,TSA,8,3765908.4162290366,44881,500,8.935885400002007
equal_iterations,F1,TSA,9,3420504.852349631,44975,500,8.691554600009113
equal_iterations,F1,SOS,0,768.5705334689272,60030,500,3.7483228000055533
equal_iterations,F1,SOS,1,924.844170398092,60030,500,2.3468883000023197
equal_iterations,F1,SOS,2,711.1811506595736,60030,500,2.3593451000051573
equal_iterations,F1,SOS,3,631.4204092091433,60030,500,2.359624899996561
equal_iterations,F1,SOS,4,14587.180256743746,60030,500,3.460866800000076
equal_iterations,F1,SOS,5,6661.000683866105,60030,500,3.452136599997175
equal_iterations,F1,SOS,6,1683.158506600258,60030,500,2.357434599995031
equal_iterations,F1,SOS,7,5631.43175522802,60030,500,2.3646786000026623
equal_iterations,F1,SOS,8,504.3072273489971,60030,500,3.5294028999924194
equal_iterations,F1,SOS,9,16658.016876997863,60030,500,2.343828199998825
equal_iterations,F1,ES,0,7207706.735196279,105030,500,4.5899772999982815
equal_iterations,F1,ES,1,32096.341649520826,105030,500,3.7199817999935476
equal_iterations,F1,ES,2,9081042.798305111,105030,500,4.897398699991754
equal_iterations,F1,ES,3,52677.93920213303,105030,500,4.427472499999567
equal_iterations,F1,ES,4,489497.16478078335,105030,500,4.9297187000047415
equal_iterations,F1,ES,5,132213.37514520064,105030,500,5.105948299999
equal_iterations,F1,ES,6,8356673.227606599,105030,500,5.23233149999578
equal_iterations,F1,ES,7,2690.007785134514,105030,500,4.567551500003901
equal_iterations,F1,ES,8,3144234.9412043677,105030,500,4.286143300007097
equal_iterations,F1,ES,9,16432283.841097917,105030,500,4.548702399988542
equal_iterations,F1,FA,0,152758206841.24374,217536,500,8.214637299999595
equal_iterations,F1,FA,1,152878800717.5588,217554,500,8.378883600002155
equal_iterations,F1,FA,2,109658102652.15373,217535,500,6.8868015999905765
equal_iterations,F1,FA,3,132080775157.44838,217530,500,6.928621500002919
equal_iterations,F1,FA,4,149554017326.3177,217544,500,6.556517600009101
equal_iterations,F1,FA,5,116802737396.72118,217547,500,6.913902700005565
equal_iterations,F1,FA,6,153109721152.84848,217529,500,6.476502399993478
equal_iterations,F1,FA,7,128567735789.33417,217527,500,6.895893299995805
equal_iterations,F1,FA,8,125801988398.42763,217537,500,6.27188460000616
equal_iterations,F1,FA,9,130591739355.05237,217535,500,6.315953800003626
equal_iterations,F3,HS,0,160122.14691174234,530,500,0.07858869999472518
equal_iterations,F3,HS,1,105699.14949550728,530,500,0.09154779999516904
equal_iterations,F3,HS,2,166706.6688950718,530,500,0.07927529999869876
equal_iterations,F3,HS,3,140321.83996926938,530,500,0.1219285000115633
equal_iterations,F3,HS,4,119299.53759189243,530,500,0.13461650001408998
equal_iterations,F3,HS,5,200958.09956111413,530,500,0.12127089999557938
equal_iterations,F3,HS,6,125836.05559171944,530,500,0.12713090000033844
equal_iterations,F3,HS,7,79199.10377006106,530,500,0.13379309998708777
equal_iterations,F3,HS,8,145919.5188434206,530,500,0.13188100000843406
equal_iterations,F3,HS,9,144326.01581782658,530,500,0.0932555999897886
equal_iterations,F3,LSHADE,0,381.8740338105905,8569,500,1.4585753999999724
equal_iterations,F3,LSHADE,1,242.63760696511105,8569,500,1.6845324999885634
equal_iterations,F3,LSHADE,2,230.16278034208148,8569,500,1.3745678999985103
equal_iterations,F3,LSHADE,3,204.8616726340516,8569,500,1.1406419999984792
equal_iterations,F3,LSHADE,4,241.87709324856382,8569,500,1.639043800008949
equal_iterations,F3,LSHADE,5,272.6265140528622,8569,500,1.7188273999927333
equal_iterations,F3,LSHADE,6,235.69523713353755,8569,500,1.9029882000031648
equal_iterations,F3,LSHADE,7,417.2185760179942,8569,500,1.8990286000043852
