Benchmark,Algorithm,Run,BestFitness,Time_s,Conv_0,Conv_1,Conv_2,Conv_3,Conv_4,Conv_5,Conv_6,Conv_7,Conv_8,Conv_9,Conv_10,Conv_11,Conv_12,Conv_13,Conv_14,Conv_15,Conv_16,Conv_17,Conv_18,Conv_19,Conv_20,Conv_21,Conv_22,Conv_23,Conv_24,Conv_25,Conv_26,Conv_27,Conv_28,Conv_29,Conv_30,Conv_31,Conv_32,Conv_33,Conv_34,Conv_35,Conv_36,Conv_37,Conv_38,Conv_39,Conv_40,Conv_41,Conv_42,Conv_43,Conv_44,Conv_45,Conv_46,Conv_47,Conv_48,Conv_49,Conv_50,Conv_51,Conv_52,Conv_53,Conv_54,Conv_55,Conv_56,Conv_57,Conv_58,Conv_59,Conv_60,Conv_61,Conv_62,Conv_63,Conv_64,Conv_65,Conv_66,Conv_67,Conv_68,Conv_69,Conv_70,Conv_71,Conv_72,Conv_73,Conv_74,Conv_75,Conv_76,Conv_77,Conv_78,Conv_79,Conv_80,Conv_81,Conv_82,Conv_83,Conv_84,Conv_85,Conv_86,Conv_87,Conv_88,Conv_89,Conv_90,Conv_91,Conv_92,Conv_93,Conv_94,Conv_95,Conv_96,Conv_97,Conv_98,Conv_99,Conv_100
Sphere,PSO,1,9155.801153208582,0.0200,66897.66946106593,65356.23560215551,65356.23560215551,63259.66541732313,63259.66541732313,63259.66541732313,63259.66541732313,63259.66541732313,63259.66541732313,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,58931.222318249784,56481.173042829025,56481.173042829025,51805.17085499692,51805.17085499692,51805.17085499692,51805.17085499692,51805.17085499692,51805.17085499692,51805.17085499692,51762.43563134129,46986.91820021649,46986.91820021649,46853.03415905636,46853.03415905636,46853.03415905636,46853.03415905636,46853.03415905636,46853.03415905636,43273.89678829194,43273.89678829194,42194.440454861746,36281.950504665176,36281.950504665176,36281.950504665176,35894.61556880676,35894.61556880676,33002.78694623934,31757.29025413923,28028.583841564483,28028.583841564483,28028.583841564483,26594.001929538717,26594.001929538717,26594.001929538717,23448.035651282564,21002.513174426596,20890.176984026595,20890.176984026595,20100.639860350915,19897.80528960366,19897.80528960366,17664.490180248435,17522.566533234072,17522.566533234072,17180.175003244996,17101.354113687652,17101.354113687652,15431.534840517894,14791.396566450074,14791.396566450074,14791.396566450074,14791.396566450074,14131.795538177388,13699.359135064338,13465.81274444683,13062.169777314797,13023.073441522783,13023.073441522783,13023.073441522783,12003.114312530863,11315.621845382933,11315.621845382933,11174.635553313132,11159.055443311565,11052.877283167738,10478.729352771661,10222.78566345224,10082.4928166281,10030.336888437676,9989.026235347796,9155.801153208582
Sphere,PSO,2,1295.7581264981973,0.0083,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,63959.12060991367,60685.421304535164,60685.421304535164,60685.421304535164,60685.421304535164,60685.421304535164,48208.70614651181,48208.70614651181,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,45929.17781137943,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,41469.6590560149,38727.18484103486,34699.98354477019,34699.98354477019,34699.98354477019,33613.51305105846,33049.021542271534,33049.021542271534,31999.65803972956,31999.65803972956,31999.65803972956,29452.60730407332,29452.60730407332,26947.66592240646,22157.463909500046,22157.463909500046,22157.463909500046,19318.817783024202,19318.817783024202,19318.817783024202,18828.610711596197,17739.06031638242,17739.06031638242,16218.340392551181,15577.546245681478,15577.546245681478,15577.546245681478,14705.017177266109,12194.257739949418,12194.257739949418,9737.009856292887,9737.009856292887,8821.213994795577,8821.213994795577,8756.450290255514,8756.450290255514,7936.1538467124365,7432.428251799224,6744.586148631072,6382.545388410151,6311.407231933534,5586.66210032339,5586.66210032339,5483.568539674357,4960.413732601351,4012.4816063195744,3308.8768541052746,3308.8768541052746,3308.8768541052746,2803.3569549030653,2245.493293999042,2229.3812396897933,2229.3812396897933,1674.6552787752382,1527.8810574876954,1527.8810574876954,1511.318172879497,1317.4511723277801,1317.4511723277801,1295.7581264981973
Sphere,PSO,3,1688.3107533567854,0.0083,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,66304.02490126717,60993.28490796641,60993.28490796641,60993.28490796641,60993.28490796641,60675.815846037505,60675.815846037505,60675.815846037505,60675.815846037505,60675.815846037505,60675.815846037505,60675.815846037505,60675.815846037505,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,51732.08426905068,44970.411172871885,43830.35852138694,43830.35852138694,39367.657266803035,39367.657266803035,39367.657266803035,39367.657266803035,39367.657266803035,39367.657266803035,38763.9764835873,38763.9764835873,38763.9764835873,38763.9764835873,38115.25597357991,38115.25597357991,36198.6257994893,36198.6257994893,34344.79217293216,34344.79217293216,34344.79217293216,31572.51134393909,31572.51134393909,31572.51134393909,31572.51134393909,27724.064072446068,27724.064072446068,26297.59741589134,22622.253790217033,22622.253790217033,22354.698350731665,20167.585629716345,20051.331094435733,20051.331094435733,17418.749598260758,15908.36548639303,14002.801987810028,13485.182918050261,13485.182918050261,13485.182918050261,13348.430100742959,12601.839605970585,12601.839605970585,11268.512670530019,11268.512670530019,10100.041993567793,9733.91068767488,8987.214154209978,8412.41970069597,8083.588484844192,7820.407226446268,7820.407226446268,6885.6403254629395,6057.763217368613,5397.250094682378,5394.053773891291,5394.053773891291,4266.004626445408,4266.004626445408,4248.518525798346,3874.1586323867023,3280.2303188489486,3280.2303188489486,3108.585652975043,2799.8374998390746,2628.469677285313,2578.13010419415,2493.7507905919415,2052.319611400381,1913.6435779922354,1688.3107533567854
Sphere,PSO,4,915.13968688614,0.0126,64771.51674996195,54739.77199666202,54739.77199666202,54739.77199666202,54739.77199666202,54739.77199666202,54739.77199666202,54739.77199666202,53827.93206342832,53827.93206342832,53827.93206342832,53827.93206342832,53827.93206342832,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,52099.81342413367,49427.62624908082,49427.62624908082,49427.62624908082,49427.62624908082,49427.62624908082,49427.62624908082,38391.450342689626,38391.450342689626,38391.450342689626,36141.30810931812,36141.30810931812,36141.30810931812,36141.30810931812,36141.30810931812,35535.09306489337,35535.09306489337,32120.103248717736,32120.103248717736,27659.931980476656,27659.931980476656,27659.931980476656,27072.20654855873,27072.20654855873,24154.494091406483,24154.494091406483,24154.494091406483,23047.277748690336,21298.27653476889,20500.400663077926,20467.95974872628,20467.95974872628,19997.82022321301,16062.667883165352,16026.754263854997,16026.754263854997,15918.49540815654,15918.49540815654,14053.069048628064,14053.069048628064,14053.069048628064,14053.069048628064,14053.069048628064,14053.069048628064,13521.91042009174,13521.91042009174,12550.302413315352,8976.740819329116,8726.398810412356,8560.143856213606,8073.492991232489,7805.145279401366,6165.970406385165,6165.970406385165,6165.970406385165,5374.101604602662,5374.101604602662,5374.101604602662,5254.717986837155,4959.932357556587,4959.932357556587,3714.546914881936,3248.8637379304873,3012.499942090795,2570.3074144447687,2472.775144907312,2040.190667981672,1867.2940911061223,1660.9011364355724,1575.618887621165,1465.5410293695995,1148.680328222402,1101.4423405905068,915.13968688614
Sphere,PSO,5,2615.0490813370407,0.0105,72598.29145024047,38254.66328348747,38254.66328348747,38254.66328348747,38254.66328348747,38254.66328348747,38254.66328348747,38254.66328348747,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,34300.24505058245,33575.93510956877,33575.93510956877,33575.93510956877,33575.93510956877,33278.20874077129,33278.20874077129,33278.20874077129,33278.20874077129,33278.20874077129,33278.20874077129,28631.169992119318,28631.169992119318,28631.169992119318,28631.169992119318,28631.169992119318,28631.169992119318,28631.169992119318,28631.169992119318,28133.409493216488,28133.409493216488,27867.0282860268,27867.0282860268,27867.0282860268,27156.1474902448,27156.1474902448,25573.25592888727,25573.25592888727,22437.852235620307,22437.852235620307,22437.852235620307,19397.926884744604,19397.926884744604,19397.926884744604,19335.88413550564,17509.447252932234,17509.447252932234,13840.766367548222,13840.766367548222,12899.058317740815,12899.058317740815,12899.058317740815,12546.907937858039,12546.907937858039,11066.022617235429,10748.547329498922,8214.345369034256,8214.345369034256,5632.376501416964,5604.041228131187,5604.041228131187,5604.041228131187,5404.801407038386,4697.041751829779,4570.5824322230255,4570.5824322230255,4570.5824322230255,4570.5824322230255,4570.5824322230255,4553.134148561768,4461.17438497117,4461.17438497117,4289.223106422108,4006.874155458717,3854.9967297416374,3674.7468861636303,3540.860796562991,3540.860796562991,3470.7080795931724,3470.7080795931724,2972.082679885387,2972.082679885387,2972.082679885387,2827.7755194841184,2615.0490813370407
Sphere,GWO,1,0.0010538487507712787,0.0581,72573.54008059985,47486.077285186984,42557.70593863712,21212.2309355522,21212.2309355522,20595.152914953796,17490.975456971726,9996.336727155076,7163.271813573649,5556.804154371854,3660.6533557268554,3212.3947235692467,2256.51658318333,1643.7143992052097,1116.1464281538426,693.7054678713507,498.75987645150724,471.01771819597144,236.01040953163286,170.98524438531746,142.356558439086,84.17220255983703,60.75610791075695,56.72089138862937,41.34104378040846,28.313846529828506,22.035097130755787,17.287815275553246,12.720471128220684,9.767826585830218,6.593672242583413,4.613372485244495,3.3090668124741582,2.1795806955124126,1.5649799317540156,1.2987111366083508,0.9863298609043403,0.7197892938112738,0.5918337217078692,0.559645430367153,0.3885887582647434,0.28681991682379715,0.2334941651674378,0.16573903524359312,0.14676789941655408,0.11984216306035103,0.10149800669139987,0.07820310449372118,0.06967713705993503,0.060424528422896105,0.050746840517629864,0.041813180156844716,0.03585468734381557,0.029435360765280975,0.025930976468870593,0.02196681562535681,0.017830190651836983,0.016454373674884785,0.013841492956580112,0.012600718722163852,0.011094299528384895,0.010120546855570536,0.00914404057814608,0.007836487527104459,0.007076930440508001,0.006098703964704433,0.005455963011958502,0.0049534493712394614,0.004517193454783166,0.00401241285703989,0.0035292385495219866,0.003267594639061683,0.0030932012017581283,0.0028391452104376356,0.002599641583997272,0.002402555561741005,0.002190532236824764,0.0020018963827514533,0.0019251787769110885,0.0018710916061492728,0.0017928424506715723,0.0017288785984715524,0.001653059643584538,0.0015699127106114509,0.0014994805761427753,0.0014428460389347391,0.0013942543085685454,0.0013475606585301024,0.0013157980443813883,0.0012593241815979492,0.001232417435808006,0.001199608281826399,0.0011649657555756888,0.0011369855986625326,0.0011091443031126791,0.0010994620245093885,0.0010850632235911287,0.0010731894151611008,0.0010594785416389923,0.0010543171835333523,0.0010538487507712787
Sphere,GWO,2,0.0004705089195836295,0.0531,75562.02566013925,63626.69115129788,44965.50695826918,34237.37740846092,25736.180922287313,23081.558202939723,18868.35414962391,13620.571731817174,8425.63727056935,4944.599580271149,4202.502351866006,2860.164956474588,1887.676245069239,1163.0927790608878,1060.8677753304335,551.6450428192852,425.98793462825114,252.05009719661092,156.5605614328684,87.75263753555743,74.70918886850495,51.493337519515755,38.22655970437653,24.494136673112976,17.962531377544607,13.077013276427254,8.489165206862724,5.670875146821654,4.781131745713558,2.9740219131557275,2.1825673467450977,1.562015207512946,1.1924449742946226,0.8267464238811361,0.6124953819043668,0.5474546704300285,0.4539818092827764,0.3883259208071539,0.2912941905173448,0.18193771694431987,0.1610336017891598,0.11116530668701265,0.08870036996581528,0.07063667825805259,0.05278332009550723,0.04468475871355237,0.03832975072832293,0.03039298933550511,0.025356951542813304,0.019368089459119577,0.01682366862428149,0.014057302269526388,0.012437661610195367,0.011001281508844548,0.009574811580206875,0.008430780921981537,0.007192543330820772,0.006231168844138992,0.005167956692891552,0.0050101199808807746,0.004221954691392995,0.003697658294281921,0.003332772743722404,0.003078160607770365,0.0027690170944152125,0.002545834623472238,0.0023853620463306757,0.0020772760225062693,0.0020234078139760663,0.0018000820235331025,0.0016337465759234814,0.0015272760292419215,0.0013630738950225372,0.001292161522162705,0.0011985031008900154,0.0010861770287113972,0.0010272276559908486,0.0009893123812613573,0.0009055563244518807,0.0008813556785258325,0.0008370173288285001,0.0007637793253204748,0.0007236256838223284,0.0006851109991545866,0.0006528052889797336,0.0006309792277849874,0.0005983671748446773,0.0005875455590884752,0.0005708330469245287,0.0005525572680043076,0.0005450884675316366,0.000529532864100177,0.000513204845064607,0.0005044843627346402,0.0004978977771648631,0.0004909613097116658,0.0004821873141286499,0.00047739727746815285,0.00047385401338503473,0.0004720154507052547,0.0004705089195836295
Sphere,GWO,3,0.0008216448484621285,0.0579,73823.41358355472,63292.290077682825,49246.19927333624,37166.868869303325,25804.11185660415,20508.16120372172,12314.275320871282,12314.275320871282,7818.712681070519,5975.086811988544,3745.086848445045,2858.7246555107436,2299.879947816558,2070.7396354692783,1809.3965498328703,1113.8191406755484,1113.8191406755484,901.8233792495832,512.4678701843885,288.1013204758707,238.48745519398744,164.53589495359304,115.71043012731475,73.99800961726223,44.77140814308446,36.67654849286965,33.48382029827493,23.71061820888811,17.674399075092186,11.005927182970954,9.118281813281357,6.454148655878929,4.4963495122328805,4.288317388941486,2.3589236417619053,1.9877788117850799,1.5770018896900477,1.2212628440200495,0.9050096738368029,0.643030088945341,0.5221534683517856,0.4484488061579932,0.3217945962619377,0.23583760350632163,0.18246958665182444,0.14286337038532584,0.09704258485663055,0.07669610509481964,0.07010726938224537,0.05174032296992533,0.043307336979170656,0.03519351554811907,0.03012650316947339,0.02512290015619676,0.021467221974635745,0.016591167655157824,0.013601506078936919,0.01219678526036076,0.011052616872856216,0.009580559653749992,0.00897112621897881,0.0077652933697295885,0.007027120541952275,0.006168549336047454,0.005492840304053937,0.005052837224828214,0.0044684022237479176,0.004001665148166389,0.003483812133150987,0.003115138736905362,0.0029021356394643796,0.002734121008674987,0.0023658657793028427,0.0023339062084504025,0.0021306751493402804,0.0019495947302930914,0.0017978532614397742,0.0016033158670785753,0.0015282718943883831,0.001420561929805129,0.0013681200754445005,0.0012808917916712747,0.0012301824701375999,0.0012103218377349546,0.0011405096864922683,0.00110500633774414,0.001074653450172672,0.0010398941727350693,0.0009895521605652305,0.0009523543611613534,0.0009432961609674839,0.0009084994064187345,0.0008953159531567709,0.0008762401826975547,0.0008605375721532763,0.0008476716032409635,0.0008395582460199501,0.0008332609407897193,0.0008288628695681135,0.0008235374908650444,0.0008216448484621285
Sphere,GWO,4,0.0027725464412929335,0.0546,68881.18808694844,58717.6388719731,41582.83938707062,35377.84156432015,31304.046772166294,19210.125908096208,17414.997832159577,14359.011070614633,10774.05571054923,6759.559393217491,4790.6709673645055,3122.425183261045,3122.425183261045,2301.195934767701,1612.6046330254987,1354.3232296028182,1190.2565151488516,968.4084932306504,762.4427412497357,585.8381124011023,394.8714304287296,314.4111916304902,217.53714804012102,174.3029913060758,133.67089048458413,102.2142080908709,44.55274744959356,44.55274744959356,32.76899336964311,17.201273726094556,14.640881373899056,11.964338143027417,8.787523720397136,6.277374504107054,3.328740985061182,2.828744861719882,2.2629400517682856,1.4217115809538037,1.0206518851247086,0.7715125906952598,0.6265585166360457,0.49401136795613254,0.37510471073214197,0.31055390769102725,0.2559620820017797,0.24014536514296558,0.1508781262808062,0.14590571648085932,0.1284589318206848,0.09803833021534522,0.08307672852946014,0.07299019620488935,0.05375082716021903,0.05046775194673106,0.04716419218446822,0.04108850772252589,0.03630358028232434,0.03110840510609579,0.027316870521729306,0.025468128379337016,0.022714129513394563,0.020445052158902494,0.017993272378763074,0.01631781757172448,0.014043253527982483,0.01324497182396209,0.011823534571147145,0.010900300824019622,0.009982613285845033,0.009515068697141206,0.008689199827496285,0.008043706461781082,0.007334368953531775,0.006919628432866821,0.0064539809965573165,0.005947270589637511,0.005769970196774975,0.005560845394642936,0.005202642234992606,0.004788878993091444,0.004565721988345683,0.004371002019275187,0.004165093973907964,0.00398892279433952,0.0038218885329036173,0.003700839855618508,0.0035623067454571148,0.003415417752159633,0.0033476286349898585,0.0032509866526935845,0.0031785799261915353,0.0031144006797625334,0.0030316810970008115,0.0029409575616954507,0.002923977609135725,0.0028964281778544212,0.0028563914937987794,0.002830133678982446,0.002790550803392303,0.00278645720474109,0.0027725464412929335
Sphere,GWO,5,0.004513555052406651,0.0535,48738.14601821691,43157.84375750495,41907.07930273027,25170.82380898077,24658.89007701579,17764.42595329495,9088.364085839905,9088.364085839905,7555.125532534271,4648.2677643521,2868.237591117359,2744.953360457979,2267.587361197087,1592.5247838622095,928.2080437727006,569.0848008618962,569.0848008618962,492.1274808468449,347.8875266431405,238.42189124565897,230.43464425415263,143.60434659975866,101.28459285727753,76.48220856551686,58.60553204803429,46.31828552387418,35.20490607577125,25.646103921565928,12.243242042710811,12.243242042710811,10.312613209459574,7.270371550545627,5.721754363213924,3.9324911132496236,2.6729970082064245,2.168836514133556,1.8181319028777325,1.3728525790748738,1.2509145442844294,1.1123635581280127,0.9315498253310881,0.7722985768458576,0.6402339562811596,0.5344915351320702,0.3677731409515379,0.35279176661812855,0.29882304663781245,0.24996006930094714,0.20838687689826896,0.17454873983288396,0.1534740963201275,0.12682148605579266,0.11403931669226473,0.09386485971913607,0.07825974144282186,0.0677467496946705,0.059275915122412814,0.051237177939593745,0.04480290244381521,0.041336980475797355,0.036501793531100966,0.031506119245157733,0.029632791761931183,0.026817146537424338,0.025142386238584037,0.022705065584038717,0.020732602937848166,0.01930861741640201,0.017209135528564765,0.015907412059578616,0.01414873393461022,0.01322138176336035,0.012369184650786846,0.011620718179880517,0.010733995644479749,0.009905035311480357,0.009193494743924795,0.00856968430264914,0.008103892305948874,0.0076981414704615685,0.007495285523390165,0.007217978461763885,0.006817828399559876,0.006474465715776085,0.006177033424055798,0.005908961373676919,0.005733467266166517,0.005621978155653349,0.005462216746007682,0.005365072654494454,0.005228914859058892,0.005161143996734835,0.005048130460552348,0.0048723978386991,0.004782341917893692,0.00469900978519287,0.004598029111858587,0.004558507424135662,0.004540785912259738,0.004517412079155498,0.004513555052406651
