Benchmark,Algorithm,Mean,Std,Best,Worst,Median
Sphere,PSO,3.134012e+03,3.063459e+03,9.151397e+02,9.155801e+03,1.688311e+03
Sphere,GWO,1.926421e-03,1.517286e-03,4.705089e-04,4.513555e-03,1.053849e-03
Sphere,WOA,6.368646e-02,9.550538e-02,2.669804e-03,2.540928e-01,1.875778e-02
Sphere,MFO,1.196649e+04,2.123484e+03,7.932735e+03,1.359227e+04,1.325368e+04
Sphere,SSA,3.638003e+03,1.290889e+03,2.830407e+03,6.212586e+03,3.050392e+03
Sphere,HHO,5.520607e-02,7.829007e-02,2.477591e-04,2.092879e-01,2.029234e-02
Sphere,MPA,1.185714e+02,2.214858e+01,9.479626e+01,1.595684e+02,1.168416e+02
Sphere,GA,1.675253e+03,2.495077e+02,1.395112e+03,1.988634e+03,1.606242e+03
Sphere,DE,1.873928e+04,5.144363e+03,1.260399e+04,2.456612e+04,1.927269e+04
Sphere,ES,4.704059e+02,3.773198e+02,6.342321e+01,1.101243e+03,2.526721e+02
Sphere,EP,1.116721e-06,1.284352e-06,1.204830e-07,3.588682e-06,7.074724e-07
Sphere,GSA,1.463636e+04,3.593034e+03,9.190116e+03,1.988698e+04,1.509292e+04
Sphere,MVO,5.076218e+01,9.605389e+00,4.155516e+01,6.884071e+01,4.865975e+01
Sphere,SCA,5.065340e+03,2.148303e+03,1.643184e+03,8.304561e+03,5.025545e+03
Sphere,AOA,4.657789e-04,1.142818e-04,2.937715e-04,5.968045e-04,4.638481e-04
Sphere,TLBO,1.349510e-14,1.559502e-14,3.015535e-15,4.425861e-14,7.157191e-15
Sphere,JA,8.859691e+03,2.908615e+03,6.297517e+03,1.440158e+04,8.358508e+03
Sphere,ABC,3.024392e+03,2.107296e+03,8.677178e+01,5.818665e+03,3.661098e+03
Sphere,FA,6.710025e+04,4.783490e+03,5.917370e+04,7.281149e+04,6.687573e+04
Sphere,SOS,9.050552e-24,4.389166e-24,4.571691e-24,1.712652e-23,7.445580e-24
Rastrigin,PSO,2.296300e+02,3.290913e+01,1.855818e+02,2.805902e+02,2.369072e+02
Rastrigin,GWO,2.541889e+01,1.405503e+01,9.708673e+00,5.125439e+01,2.355072e+01
Rastrigin,WOA,1.890916e+02,6.426951e+01,1.443657e+02,3.162005e+02,1.668331e+02
Rastrigin,MFO,2.150530e+02,4.235197e+01,1.369000e+02,2.522047e+02,2.339203e+02
Rastrigin,SSA,1.948558e+02,1.668131e+01,1.661119e+02,2.124420e+02,2.036977e+02
Rastrigin,HHO,9.621784e+01,9.733874e+01,6.869089e-02,2.771684e+02,5.566272e+01
Rastrigin,MPA,2.045182e+02,2.556035e+01,1.770071e+02,2.496188e+02,1.956812e+02
Rastrigin,GA,1.800431e+02,3.352218e+01,1.269088e+02,2.162481e+02,1.777911e+02
Rastrigin,DE,3.365328e+02,1.507296e+01,3.088944e+02,3.526615e+02,3.433013e+02
Rastrigin,ES,1.305357e+02,3.401508e+01,9.910732e+01,1.904692e+02,1.182352e+02
Rastrigin,EP,1.031357e-07,7.332243e-08,7.155393e-09,2.329866e-07,8.474098e-08
Rastrigin,GSA,4.336358e+02,1.963437e+01,4.104035e+02,4.557395e+02,4.345484e+02
Rastrigin,MVO,1.775366e+02,2.340073e+01,1.474061e+02,2.181293e+02,1.776775e+02
Rastrigin,SCA,1.322376e+02,4.432913e+01,4.974463e+01,1.753859e+02,1.367207e+02
Rastrigin,AOA,9.615161e-05,1.509504e-05,7.067362e-05,1.147748e-04,1.003815e-04
Rastrigin,TLBO,8.921584e+01,4.754843e+01,2.326456e+01,1.537463e+02,1.037667e+02
Rastrigin,JA,3.312764e+02,2.120807e+01,2.947039e+02,3.571139e+02,3.378828e+02
Rastrigin,ABC,9.403494e+01,1.056624e+01,7.886590e+01,1.094278e+02,9.075558e+01
Rastrigin,FA,3.535735e+02,8.159453e+00,3.417733e+02,3.622290e+02,3.548906e+02
Rastrigin,SOS,1.705303e-13,3.410605e-13,0.000000e+00,8.526513e-13,0.000000e+00
Ackley,PSO,1.841283e+01,2.050502e+00,1.514636e+01,2.016012e+01,1.996202e+01
Ackley,GWO,1.097985e-02,3.371345e-03,7.363204e-03,1.616239e-02,9.475047e-03
Ackley,WOA,1.198953e+01,9.763664e+00,2.858834e-02,1.996319e+01,1.995839e+01
Ackley,MFO,1.782896e+01,2.141940e+00,1.373522e+01,1.996301e+01,1.853063e+01
Ackley,SSA,1.179773e+01,4.916382e-01,1.129905e+01,1.261440e+01,1.149234e+01
Ackley,HHO,1.030501e-02,1.276875e-02,6.757801e-08,3.065938e-02,5.155668e-04
Ackley,MPA,4.579072e+00,3.300729e-01,4.067139e+00,4.990866e+00,4.569957e+00
Ackley,GA,1.387143e+01,2.451824e+00,1.135981e+01,1.837049e+01,1.263032e+01
Ackley,DE,1.996118e+01,3.437020e-03,1.995548e+01,1.996511e+01,1.996259e+01
Ackley,ES,1.996138e+01,1.520722e-03,1.995956e+01,1.996304e+01,1.996155e+01
Ackley,EP,1.598301e-04,1.096600e-04,4.921559e-05,3.337050e-04,1.053822e-04
Ackley,GSA,1.586083e+01,9.605125e-01,1.467123e+01,1.747688e+01,1.587693e+01
Ackley,MVO,6.299663e+00,6.076536e+00,2.987417e+00,1.844799e+01,3.381905e+00
Ackley,SCA,1.621468e+01,4.986188e+00,9.925567e+00,2.037948e+01,2.014424e+01
Ackley,AOA,4.647028e-03,7.999827e-04,3.646449e-03,5.667997e-03,4.453113e-03
Ackley,TLBO,2.894909e-08,1.278392e-08,1.070514e-08,5.073879e-08,2.756796e-08
Ackley,JA,1.786300e+01,1.670394e+00,1.630030e+01,2.008159e+01,1.675938e+01
Ackley,ABC,1.458787e+01,1.689773e+00,1.124826e+01,1.567211e+01,1.545631e+01
Ackley,FA,2.042134e+01,6.991345e-02,2.032103e+01,2.049545e+01,2.045843e+01
Ackley,SOS,9.127810e-13,3.811676e-13,4.765077e-13,1.517453e-12,9.170442e-13
Rosenbrock,PSO,2.157477e+06,1.645862e+06,6.174908e+05,4.930566e+06,1.174610e+06
Rosenbrock,GWO,5.263333e+01,4.162185e+01,2.881985e+01,1.353694e+02,2.911856e+01
Rosenbrock,WOA,4.368889e+01,1.339944e+01,3.184759e+01,6.858259e+01,4.139247e+01
Rosenbrock,MFO,1.494216e+07,6.683110e+06,4.933118e+06,2.451190e+07,1.372969e+07
Rosenbrock,SSA,5.069926e+05,1.738654e+05,2.786951e+05,7.923192e+05,5.178094e+05
Rosenbrock,HHO,2.947788e+01,1.031411e+00,2.865372e+01,3.140586e+01,2.893066e+01
Rosenbrock,MPA,3.938602e+03,1.850050e+03,1.240394e+03,6.978548e+03,3.605814e+03
Rosenbrock,GA,2.796886e+05,1.576576e+05,1.338044e+05,5.692774e+05,2.393437e+05
Rosenbrock,DE,3.821184e+07,2.328920e+07,1.508712e+07,7.774585e+07,2.538541e+07
Rosenbrock,ES,3.009577e+04,2.816229e+04,6.816780e+03,8.500025e+04,1.765589e+04
Rosenbrock,EP,2.870965e+01,2.630151e-01,2.822166e+01,2.894170e+01,2.872388e+01
Rosenbrock,GSA,8.631030e+07,5.029938e+07,3.540897e+07,1.719439e+08,8.520805e+07
Rosenbrock,MVO,9.691070e+03,1.279072e+04,5.941887e+02,3.496071e+04,4.053588e+03
Rosenbrock,SCA,1.284084e+07,1.222787e+07,3.298251e+06,3.628329e+07,6.371684e+06
Rosenbrock,AOA,2.867659e+01,5.741937e-02,2.857780e+01,2.874787e+01,2.867838e+01
Rosenbrock,TLBO,2.753857e+01,1.888016e-01,2.720991e+01,2.775703e+01,2.755853e+01
Rosenbrock,JA,8.080652e+06,2.039534e+06,5.603598e+06,1.097286e+07,7.098644e+06
Rosenbrock,ABC,5.916795e+03,4.393763e+03,1.609356e+03,1.138433e+04,3.137517e+03
Rosenbrock,FA,2.750379e+08,3.603841e+07,2.292831e+08,3.156362e+08,2.899141e+08
Rosenbrock,SOS,2.704932e+01,3.782407e-01,2.652471e+01,2.760268e+01,2.695952e+01
